image_path,class,subset
2022_neonate_dump_034_warped_ref_image324_.jpg,2022_neonate,train
2022_neonate_dump_251_warped_ref_image271_.jpg,2022_neonate,train
2022_neonate_dump_180_warped_ref_image45_.jpg,2022_neonate,train
2022_neonate_dump_191_warped_ref_image14_.jpg,2022_neonate,train
2022_neonate_dump_030_warped_ref_image240_.jpg,2022_neonate,train
2022_neonate_dump_192_warped_ref_image69_.jpg,2022_neonate,train
2022_neonate_dump_035_warped_ref_image304_.jpg,2022_neonate,train
2022_neonate_dump_251_warped_ref_image217_.jpg,2022_neonate,train
2022_neonate_dump_034_warped_ref_image308_.jpg,2022_neonate,train
2022_neonate_dump_030_warped_ref_image295_.jpg,2022_neonate,train
2022_neonate_dump_192_warped_ref_image66_.jpg,2022_neonate,train
2022_neonate_dump_035_warped_ref_image176_.jpg,2022_neonate,train
2022_neonate_dump_251_warped_ref_image274_.jpg,2022_neonate,train
2022_neonate_dump_251_warped_ref_image314_.jpg,2022_neonate,train
2022_neonate_dump_034_warped_ref_image15_.jpg,2022_neonate,train
2022_neonate_dump_030_warped_ref_image165_.jpg,2022_neonate,train
2022_neonate_dump_034_warped_ref_image96_.jpg,2022_neonate,train
2022_neonate_dump_180_warped_ref_image207_.jpg,2022_neonate,train
2022_neonate_dump_034_warped_ref_image203_.jpg,2022_neonate,train
2022_neonate_dump_162_warped_ref_image159_.jpg,2022_neonate,train
2022_neonate_dump_162_warped_ref_image74_.jpg,2022_neonate,train
2022_neonate_dump_035_warped_ref_image105_.jpg,2022_neonate,train
2022_neonate_dump_035_warped_ref_image292_.jpg,2022_neonate,train
2022_neonate_dump_030_warped_ref_image159_.jpg,2022_neonate,train
2022_neonate_dump_192_warped_ref_image73_.jpg,2022_neonate,train
2022_neonate_dump_035_warped_ref_image184_.jpg,2022_neonate,train
2022_neonate_dump_034_warped_ref_image71_.jpg,2022_neonate,train
2022_neonate_dump_191_warped_ref_image238_.jpg,2022_neonate,train
2022_neonate_dump_192_warped_ref_image101_.jpg,2022_neonate,train
2022_neonate_dump_030_warped_ref_image288_.jpg,2022_neonate,train
2022_neonate_dump_162_warped_ref_image179_.jpg,2022_neonate,train
2022_neonate_dump_035_warped_ref_image60_.jpg,2022_neonate,train
2022_neonate_dump_191_warped_ref_image54_.jpg,2022_neonate,train
2022_neonate_dump_251_warped_ref_image63_.jpg,2022_neonate,train
